yearID,Rank,G,W,L,R,AB,H,2B,3B,HR,BB,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,FP,BPF,PPF
1873,1,60,43,16,739,2755,930,137,46,13,62,460,154,2.59,48,1,3,1608,708,5,35,31,434,0.83,106,100
1873,8,23,2,21,98,868,204,21,8,0,8,299,74,3.22,22,0,0,621,342,7,9,8,247,0.78,92,103
1873,4,53,29,24,424,2214,622,67,41,5,42,385,139,2.62,48,2,0,1431,539,5,69,76,419,0.82,98,96
1873,5,52,28,23,474,2266,683,76,22,4,35,403,160,3.03,44,3,1,1425,553,4,58,41,383,0.84,108,105
1873,2,53,36,17,526,2325,645,83,20,8,62,396,148,2.77,50,0,0,1443,627,3,44,28,361,0.84,103,101
1873,7,39,8,31,283,1563,408,45,25,3,19,485,181,4.71,39,0,0,1038,593,11,22,7,240,0.84,96,102
1874,8,47,9,38,227,1781,435,53,8,1,24,505,201,4.31,43,0,0,1260,643,4,37,0,355,0.81,102,104
1874,6,56,22,33,301,2165,497,50,11,1,32,449,180,3.2,56,1,0,1518,621,16,13,0,500,0.82,89,94
1874,1,71,52,18,735,3122,981,130,57,18,32,415,166,2.36,65,4,3,1899,777,1,27,0,457,0.85,105,98
1874,5,59,28,31,418,2457,690,89,3,3,34,480,192,3.24,58,3,0,1599,696,7,48,0,446,0.83,101,102
1874,7,53,16,37,371,2140,587,92,19,2,26,471,189,3.54,45,0,1,1443,660,2,23,0,501,0.8,106,106
1874,2,65,42,23,500,2719,709,100,31,8,38,377,150,2.3,62,4,0,1758,658,3,40,0,438,0.84,103,102
1874,3,55,33,22,441,2260,646,87,17,6,24,344,138,2.55,55,0,0,1461,514,5,29,0,396,0.83,108,105
1874,4,58,29,29,476,2432,690,74,51,3,28,428,172,2.95,56,3,0,1572,666,4,21,0,518,0.8,103,101
1875,11,44,2,42,132,1547,304,32,9,2,10,438,174,3.95,31,0,0,1188,531,9,22,0,426,0.8,88,94
1875,1,82,71,8,831,3516,1124,157,54,14,31,343,138,1.7,60,10,17,2196,751,2,29,0,464,0.86,103,96
1875,6,69,30,37,379,2658,697,85,13,0,24,416,167,2.4,65,7,0,1875,652,0,28,0,385,0.86,101,102
1875,3,86,54,28,557,3342,873,98,34,2,40,343,138,1.61,83,13,0,2313,706,4,16,0,432,0.88,107,105
1875,13,13,1,12,45,449,81,9,6,0,1,88,35,2.81,13,0,0,336,110,0,14,0,68,0.85,105,109
1875,8,47,7,40,170,1708,374,42,12,2,13,397,158,3.34,40,0,0,1278,500,5,22,0,437,0.81,87,93
1875,6,71,30,38,328,2683,626,84,24,7,21,425,170,2.4,70,2,0,1911,716,3,24,0,526,0.83,99,100
1875,2,77,53,20,699,3245,940,126,61,10,40,402,161,2.11,75,6,0,2061,775,4,40,0,418,0.87,107,106
1875,5,70,37,31,470,2717,681,65,28,5,22,376,150,2.15,64,5,0,1881,650,6,30,0,475,0.84,104,102
1875,11,14,2,12,70,529,126,19,3,0,8,138,55,3.93,14,0,0,378,170,0,3,0,164,0.76,92,98
1875,10,19,4,15,60,688,138,20,1,0,14,161,64,3.37,16,2,0,513,207,0,3,0,150,0.83,90,98
1875,4,70,39,29,386,2679,641,84,27,0,33,369,148,2.11,67,5,1,1890,634,3,20,0,424,0.86,89,86
1875,9,28,5,23,107,997,194,12,11,0,5,338,135,4.86,23,0,0,750,397,6,11,0,263,0.79,96,106
1876,4,70,39,31,471,2722,723,96,24,9,58,450,176,2.51,49,3,7,1896,732,7,104,77,422,0.86,102,98
1876,1,66,52,14,624,2748,926,131,32,8,70,257,116,1.76,59,9,4,1776,608,6,29,51,282,0.89,112,106
1876,8,65,9,56,238,2372,555,51,12,4,41,579,238,3.62,57,0,0,1773,850,9,34,60,469,0.84,86,95
1876,2,69,47,21,429,2664,711,96,22,2,39,261,116,1.67,69,11,0,1872,570,2,27,114,337,0.88,110,106
1876,5,69,30,36,280,2570,641,68,14,6,24,344,121,1.69,67,5,0,1929,605,3,38,125,396,0.87,117,117
1876,6,57,21,35,260,2180,494,39,15,2,18,412,173,2.94,56,2,0,1590,718,8,24,37,475,0.82,96,100
1876,7,60,14,45,378,2387,646,79,35,7,27,534,197,3.22,53,1,2,1650,783,2,41,22,456,0.83,104,104
1876,3,64,45,19,386,2478,642,73,27,2,59,229,78,1.22,63,16,0,1731,472,3,39,103,268,0.9,93,92
1877,1,61,42,18,419,2368,700,91,37,4,65,263,131,2.15,61,7,0,1644,557,5,38,177,289,0.88,104,100
1877,5,60,26,33,366,2273,633,79,30,0,57,375,200,3.37,45,3,3,1602,630,7,58,92,313,0.88,112,106
1877,6,58,15,42,291,2135,545,72,34,6,78,485,240,4.19,48,1,1,1545,747,4,61,85,393,0.85,89,94
1877,3,60,31,27,341,2358,637,63,31,4,30,311,140,2.32,59,4,0,1632,572,2,56,99,313,0.88,90,87
1877,2,61,35,25,339,2355,659,75,36,9,58,288,140,2.25,61,4,0,1677,617,4,41,141,267,0.9,117,117
1877,4,60,28,32,284,2178,531,51,36,1,57,318,160,2.66,52,1,0,1623,582,2,92,132,281,0.89,95,93
1878,1,60,41,19,298,2220,535,75,25,2,35,241,140,2.32,58,9,0,1632,595,6,38,184,228,0.91,108,102
1878,4,61,30,30,371,2333,677,91,20,3,88,331,145,2.37,61,1,0,1653,577,4,35,175,304,0.89,106,105
1878,2,61,37,23,333,2281,629,67,22,5,58,281,112,1.84,61,6,0,1644,546,2,63,220,254,0.9,91,92
1878,5,63,24,36,293,2300,542,76,15,3,64,328,149,2.32,59,2,1,1734,621,3,87,182,290,0.89,87,89
1878,6,61,15,45,256,2212,552,65,20,2,69,386,158,2.6,54,1,0,1641,589,3,55,147,376,0.86,106,113
1878,3,62,33,27,353,2298,604,107,30,8,50,337,147,2.38,59,6,0,1668,609,5,86,173,311,0.89,100,96
1879,3,79,46,32,394,2906,733,105,54,2,78,365,185,2.34,78,8,0,2139,698,3,47,198,331,0.9,102,105
1879,2,84,54,30,562,3217,883,138,51,20,90,348,183,2.19,80,13,0,2259,757,9,46,230,319,0.91,102,100
1879,4,83,46,33,437,3116,808,167,32,3,73,411,203,2.46,82,6,0,2232,762,5,57,211,381,0.9,106,103
1879,6,82,27,55,322,2987,666,116,29,4,37,461,218,2.65,79,3,0,2223,818,4,116,287,405,0.88,99,100
1879,5,81,43,37,485,3085,813,127,53,8,66,464,185,2.29,79,4,0,2178,756,11,81,246,426,0.87,95,94
1879,1,85,59,25,612,3392,1003,142,55,12,91,355,188,2.18,73,3,2,2328,765,9,62,329,382,0.9,99,95
1879,7,71,22,48,276,2611,592,61,19,5,28,462,230,3.19,64,5,0,1947,775,4,52,132,398,0.87,89,95
1879,8,77,19,56,321,2841,673,102,24,4,45,543,216,2.8,75,3,0,2085,840,13,47,210,460,0.87,93,100
1880,7,85,24,58,331,2962,669,104,37,3,90,502,254,3.09,72,6,1,2217,879,10,78,186,403,0.89,102,103
1880,6,86,40,44,416,3080,779,134,41,20,105,456,255,3.08,70,4,0,2232,840,2,86,187,368,0.9,97,96
1880,1,86,67,17,538,3135,876,164,39,4,104,317,166,1.93,80,8,3,2325,622,8,129,367,329,0.91,106,102
1880,3,85,47,37,387,3002,726,130,52,7,76,337,160,1.9,83,7,1,2277,685,4,98,289,330,0.91,98,99
1880,8,83,21,59,296,2895,649,91,36,7,75,472,193,2.44,79,3,0,2139,785,10,88,208,427,0.87,98,104
1880,2,87,52,32,419,3196,793,114,34,8,89,299,146,1.64,75,13,2,2397,663,7,51,286,357,0.91,97,93
1880,4,83,41,42,392,3007,755,114,37,5,120,438,225,2.74,81,4,0,2214,763,8,113,173,366,0.9,105,106
1880,5,85,40,43,412,3024,699,129,52,8,81,370,192,2.27,68,7,5,2286,709,13,97,297,355,0.9,108,109
1881,3,83,45,38,440,3019,797,157,50,12,108,447,234,2.84,72,5,0,2226,881,9,89,185,408,0.89,99,100
1881,6,83,38,45,349,2916,733,121,27,5,110,410,220,2.71,72,6,3,2190,763,9,143,199,293,0.91,96,96
1881,1,84,56,28,550,3114,918,157,36,12,140,379,201,2.43,81,9,0,2232,722,14,122,228,309,0.91,105,99
1881,7,85,36,48,392,3117,796,120,39,7,132,414,226,2.68,82,2,0,2280,737,9,126,240,348,0.9,95,95
1881,4,84,41,43,439,2995,780,131,53,17,136,429,219,2.65,83,10,0,2232,785,8,137,265,338,0.9,104,105
1881,2,85,47,37,447,3077,780,144,37,11,146,426,202,2.4,76,7,0,2271,756,5,138,264,389,0.89,98,96
1881,5,85,39,45,399,3046,754,124,31,5,140,429,254,2.97,85,8,0,2310,813,11,159,207,311,0.91,105,106
1881,8,83,32,50,410,3093,781,114,31,7,121,492,290,3.54,80,5,0,2211,882,11,120,196,353,0.9,105,108
1882,3,84,45,39,500,3128,858,146,47,18,116,461,266,3.25,79,3,0,2211,778,16,114,287,315,0.91,102,101
1882,6,74,19,54,273,2583,535,60,24,4,72,515,278,3.87,64,1,0,1938,760,15,108,113,488,0.85,90,100
1882,3,85,45,39,472,3118,823,114,50,15,134,414,233,2.8,81,4,0,2247,738,10,77,352,295,0.91,100,98
1882,1,84,55,29,604,3225,892,209,54,15,142,353,188,2.22,83,7,0,2289,667,13,102,279,376,0.89,105,99
1882,5,84,42,40,402,3009,716,139,40,20,122,411,229,2.74,81,4,0,2253,743,22,132,232,355,0.9,97,97
1882,1,80,55,25,489,3007,795,95,47,5,102,268,132,1.65,77,11,0,2163,609,7,125,165,322,0.9,106,99
1882,5,86,42,41,407,3144,724,117,44,19,122,488,263,2.98,82,7,0,2379,808,19,129,354,377,0.89,100,101
1882,2,80,42,38,443,2806,728,110,28,9,128,352,156,2.03,73,6,0,2079,637,6,112,240,385,0.89,95,93
1882,3,75,41,34,406,2707,660,89,21,5,125,389,219,2.97,72,2,0,1989,682,13,99,190,361,0.89,110,110
1882,2,84,52,32,463,3104,776,121,53,11,102,356,190,2.27,80,10,1,2256,690,12,87,273,371,0.9,100,98
1882,4,79,39,39,428,2904,730,110,59,18,90,418,216,2.79,77,2,0,2088,694,4,82,252,397,0.88,100,99
1882,5,80,37,43,399,2865,663,87,41,11,112,496,223,2.92,75,3,1,2064,729,7,103,225,446,0.87,104,104
1882,7,85,35,48,430,3057,747,116,59,12,109,522,259,3.08,81,6,0,2271,837,13,168,189,432,0.88,95,98
1882,8,84,18,66,379,2984,689,109,57,16,113,652,308,3.76,75,0,0,2214,964,21,151,195,469,0.87,102,107
1883,5,98,52,45,614,3729,1058,184,59,8,147,576,317,3.32,90,5,2,2577,971,12,101,362,445,0.89,102,101
1883,8,96,28,68,471,3534,870,125,49,5,162,742,383,4.08,86,1,0,2532,943,12,190,290,624,0.85,103,105
1883,1,98,63,35,669,3657,1010,209,86,34,123,456,244,2.55,89,6,3,2580,853,11,90,538,382,0.9,102,98
1883,2,98,59,39,679,3658,1000,277,61,13,129,540,266,2.78,91,5,1,2586,942,21,123,299,543,0.87,108,105
1883,4,100,55,42,476,3457,852,184,38,8,139,443,217,2.22,92,5,2,2637,818,7,217,402,389,0.9,99,100
1883,6,97,32,65,476,3553,854,101,79,15,134,659,370,3.96,90,4,0,2520,980,16,211,222,535,0.87,92,93
1883,3,98,61,37,662,3669,961,122,74,34,139,413,217,2.26,96,8,0,2598,766,17,168,215,360,0.9,106,99
1883,7,101,40,58,524,3726,931,164,48,13,166,650,356,3.58,89,5,2,2682,1026,22,184,324,444,0.89,95,99
1883,5,98,52,45,564,3553,891,114,64,14,140,562,340,3.51,96,7,0,2619,987,7,110,269,471,0.88,93,91
1883,6,98,46,50,530,3524,900,139,69,24,127,577,283,2.94,87,5,0,2598,907,19,170,323,468,0.88,99,99
1883,4,97,54,42,498,3534,883,111,58,6,142,405,282,2.9,97,6,0,2622,749,12,123,480,391,0.9,109,106
1883,1,98,66,32,720,3714,972,149,50,20,194,547,279,2.88,92,1,0,2619,921,22,95,347,584,0.86,108,105
1883,8,99,17,81,437,3576,859,181,48,3,141,887,513,5.34,91,3,0,2592,1267,20,125,253,639,0.85,91,98
1883,3,98,58,40,636,3685,1001,189,59,21,149,436,229,2.37,88,4,1,2613,827,12,111,376,419,0.9,103,99
1883,7,98,31,67,525,3609,892,120,58,13,162,728,445,4.62,82,1,1,2601,1140,21,151,271,506,0.88,94,98
1883,2,98,65,33,549,3495,892,118,46,7,125,409,218,2.23,93,9,1,2637,729,7,150,325,388,0.9,106,106
1884,10,25,6,19,90,899,223,30,6,2,22,216,114,4.68,20,0,0,657,292,3,52,93,156,0.86,101,109
1884,3,115,64,47,700,4197,1099,163,69,39,215,626,328,2.95,108,14,1,3003,1041,46,189,534,463,0.9,103,105
1884,6,108,63,43,636,3845,896,133,84,32,211,515,288,2.71,105,8,1,2865,869,16,219,635,461,0.89,104,107
1884,4,106,58,47,662,3883,952,150,26,17,144,627,316,3.01,92,4,0,2838,1002,24,177,628,610,0.87,109,109
1884,9,109,40,64,476,3763,845,112,47,16,179,644,399,3.79,105,6,0,2844,996,20,163,378,508,0.88,100,102
1884,2,116,73,38,684,4189,1063,179,60,36,207,468,285,2.47,109,14,2,3111,932,30,135,742,374,0.92,99,97
1884,5,111,58,51,636,3940,928,168,32,19,128,558,286,2.7,100,5,1,2859,885,17,110,753,633,0.86,99,98
1884,5,113,62,50,834,4182,1176,162,50,142,264,647,336,3.03,106,9,0,2991,1028,83,231,472,595,0.88,108,105
1884,6,93,41,50,438,3212,742,127,26,10,119,482,243,2.72,86,6,0,2409,743,12,137,679,459,0.88,98,99
1884,7,113,35,77,458,3934,934,147,49,16,170,716,379,3.43,107,7,0,2982,1046,35,269,482,512,0.89,103,106
1884,2,110,69,39,585,3759,901,107,96,40,196,459,286,2.68,102,8,1,2886,815,22,172,526,433,0.9,92,93
1884,5,112,68,41,754,4090,1037,109,96,36,154,512,364,3.33,111,11,0,2949,956,27,181,308,412,0.91,104,102
1884,3,105,69,36,703,3786,1027,118,63,26,147,466,242,2.38,95,11,1,2742,831,17,90,503,532,0.88,111,107
1884,8,114,28,84,445,3970,825,114,47,31,207,736,370,3.38,109,3,0,2952,1097,36,245,488,514,0.89,94,97
1884,12,110,29,78,462,3813,890,129,62,20,125,755,437,4.2,107,2,0,2811,1001,30,199,479,515,0.88,97,100
1884,11,82,16,63,311,2802,557,104,15,6,123,618,317,4.06,70,0,0,2106,862,14,127,334,520,0.86,87,92
1884,3,110,68,40,573,3957,1004,152,69,17,146,425,238,2.17,101,6,0,2967,836,9,97,470,426,0.91,95,95
1884,2,12,8,4,53,395,88,25,0,0,20,34,26,2.25,12,3,0,312,49,1,13,139,53,0.89,60,60
1884,4,116,62,50,693,4124,1053,149,67,23,249,623,352,3.12,111,4,0,3042,1011,28,326,567,514,0.89,105,102
1884,1,112,75,32,734,4012,1052,155,64,22,203,423,269,2.46,111,9,0,2952,800,15,119,611,441,0.9,100,96
1884,7,108,61,46,700,3959,1057,167,100,26,153,546,360,3.42,105,5,0,2844,920,16,127,530,458,0.9,107,104
1884,6,113,39,73,549,3998,934,149,39,14,209,824,428,3.93,106,3,1,2943,1090,38,254,411,536,0.88,94,99
1884,8,67,21,46,414,2518,618,108,35,7,103,545,305,4.63,64,1,0,1779,726,7,105,310,501,0.84,91,94
1884,1,114,84,28,665,4093,987,153,43,21,300,388,185,1.61,107,16,2,3108,825,26,172,639,398,0.91,99,96
1884,11,110,30,78,406,3689,777,105,50,2,143,725,456,4.35,108,4,0,2829,1059,25,216,338,523,0.88,97,101
1884,10,46,12,30,194,1469,325,40,33,7,53,294,186,4.52,45,1,0,1110,402,14,52,167,238,0.87,99,102
1884,4,110,67,40,658,3952,986,151,60,11,174,539,293,2.67,99,8,0,2961,881,16,172,477,489,0.9,104,101
1884,1,114,94,19,887,4285,1251,259,41,32,181,429,216,1.96,104,8,6,2979,838,9,110,550,554,0.88,99,98
1884,9,9,2,6,24,272,49,13,1,0,7,57,25,3.17,7,1,0,213,72,1,27,44,47,0.87,60,60
1884,8,110,46,58,463,3712,859,153,48,8,157,571,322,3.06,103,9,1,2838,885,12,169,501,469,0.9,103,105
1884,12,18,2,16,35,521,91,8,8,2,22,114,48,3.04,15,0,0,426,165,4,18,113,104,0.85,103,109
1884,13,63,12,51,248,2166,434,61,24,6,102,481,242,4.01,62,3,0,1629,643,21,110,235,399,0.85,88,93
1884,7,114,47,65,572,3926,931,120,26,4,118,679,364,3.44,94,5,0,2859,992,16,168,684,550,0.87,96,98
1885,7,112,38,74,495,3900,980,149,50,23,179,761,456,4.29,107,4,1,2868,1175,31,234,320,464,0.9,103,105
1885,8,110,41,68,541,3820,837,124,59,17,279,683,421,3.9,103,2,4,2913,1059,12,222,395,419,0.9,99,100
1885,5,112,53,59,624,3943,966,121,65,14,238,650,381,3.46,110,3,1,2973,955,27,211,436,436,0.91,100,102
1885,5,113,46,66,528,3950,915,144,53,22,190,589,330,3.03,111,10,0,2943,1045,26,188,480,445,0.9,96,95
1885,1,113,87,25,834,4093,1079,184,75,54,340,470,251,2.23,108,14,4,3045,868,37,202,458,497,0.9,114,107
1885,2,112,63,49,642,4050,1046,108,77,26,153,575,362,3.26,102,7,1,2997,998,24,250,330,417,0.91,102,100
1885,6,108,41,67,514,3773,917,149,66,25,216,582,305,2.88,105,6,1,2862,966,18,224,475,445,0.9,100,101
1885,6,112,53,59,564,3969,986,126,83,19,152,598,298,2.68,109,3,1,3006,927,13,217,462,460,0.9,100,100
1885,2,112,85,27,691,4029,1085,150,82,16,221,370,190,1.72,109,16,1,2982,758,11,265,516,331,0.92,101,97
1885,7,108,44,64,526,3731,921,123,57,21,217,688,432,4.15,103,2,0,2811,1015,36,204,408,453,0.9,84,86
1885,4,113,55,57,764,4142,1099,169,76,30,223,691,360,3.23,105,5,0,3009,1038,11,212,506,482,0.9,106,106
1885,3,111,56,54,513,3893,891,156,35,20,220,511,259,2.39,108,10,0,2928,860,18,218,378,447,0.9,97,98
1885,4,110,53,57,442,3727,820,114,30,6,265,531,289,2.71,108,8,0,2880,912,18,235,371,459,0.9,97,95
1885,3,111,56,55,547,3975,955,123,79,5,189,539,328,2.92,104,8,0,3033,918,14,201,454,422,0.91,100,99
1885,1,112,79,33,677,3972,979,132,57,17,234,461,272,2.44,111,11,0,3006,879,12,168,378,381,0.92,105,101
1885,8,111,36,72,390,3758,829,121,21,8,214,593,361,3.37,107,4,0,2895,935,15,278,337,398,0.91,97,98
1886,8,139,48,83,625,4639,945,124,51,8,379,878,547,4.08,134,5,0,3618,1197,25,403,805,524,0.9,98,99
1886,3,141,76,61,832,5053,1261,196,80,16,433,832,469,3.42,138,6,0,3702,1202,17,464,540,610,0.9,100,100
1886,5,118,56,61,657,4180,1085,151,59,24,250,661,370,3.24,116,3,0,3087,1049,33,298,511,465,0.9,97,97
1886,1,126,90,34,900,4378,1223,198,87,53,460,555,310,2.54,116,8,3,3291,988,49,262,647,475,0.91,114,109
1886,5,141,65,73,883,4915,1225,145,95,45,374,865,579,4.18,129,3,0,3741,1267,25,481,495,580,0.9,103,102
1886,2,126,87,36,829,4501,1260,176,81,53,374,538,349,2.85,122,8,0,3309,995,20,270,592,373,0.92,103,100
1886,7,126,30,91,494,4236,967,177,48,19,269,872,573,4.84,117,4,0,3198,1345,27,246,442,455,0.9,106,114
1886,4,138,66,70,833,4921,1294,182,88,20,410,805,412,3.07,131,5,2,3627,1109,16,432,720,593,0.9,106,106
1886,3,124,75,44,692,4298,1156,175,68,21,237,558,337,2.86,119,3,1,3186,1029,23,280,588,359,0.92,103,99
1886,7,137,53,82,628,4683,1047,108,72,18,330,766,461,3.5,134,5,0,3558,1148,23,386,559,545,0.9,96,100
1886,6,139,63,72,772,4856,1142,192,82,21,378,942,537,3.97,134,4,0,3654,1308,35,388,513,637,0.89,101,102
1886,4,119,71,43,621,4072,976,145,66,26,282,498,284,2.45,110,10,2,3135,923,29,264,540,393,0.92,100,99
1886,2,140,80,57,810,4854,1171,186,96,16,478,647,386,2.83,137,15,1,3678,1130,10,299,515,487,0.91,98,97
1886,1,139,93,46,944,5009,1365,206,85,20,400,592,340,2.49,134,14,2,3687,1087,13,329,583,494,0.91,105,100
1886,6,126,43,79,547,4250,1001,183,46,30,235,712,388,3.24,118,6,0,3231,1050,34,392,501,452,0.91,94,97
1886,8,125,28,92,445,4082,856,135,51,23,265,791,497,4.3,116,4,0,3123,1147,34,379,500,458,0.91,94,99
1887,3,141,77,58,975,4825,1337,202,100,31,469,861,525,3.87,132,8,0,3660,1288,16,418,470,549,0.9,94,95
1887,6,138,60,74,904,4913,1281,200,82,25,456,918,589,4.47,132,3,3,3555,1348,27,454,332,562,0.9,101,100
1887,5,127,61,60,831,4531,1255,185,94,53,340,792,539,4.41,123,4,1,3300,1226,55,396,254,522,0.9,98,97
1887,3,127,71,50,813,4350,1177,178,98,80,407,716,433,3.46,117,4,3,3378,1156,55,338,510,472,0.91,113,110
1887,8,133,39,92,729,4649,1170,178,77,14,375,1112,630,4.99,127,2,1,3408,1472,34,533,332,576,0.89,97,101
1887,2,136,81,54,892,4797,1285,179,102,37,382,745,470,3.58,129,11,1,3546,1202,28,396,330,484,0.91,102,101
1887,1,127,79,45,969,4689,1404,213,126,55,352,714,490,3.95,122,3,1,3348,1172,52,344,337,384,0.92,104,100
1887,8,127,37,89,628,4368,1080,162,70,33,300,965,633,5.24,118,4,1,3264,1289,60,431,245,479,0.91,96,102
1887,4,139,76,60,956,4916,1420,194,98,27,436,854,511,3.82,133,3,1,3615,1274,31,357,544,574,0.9,102,102
1887,4,129,68,55,816,4516,1259,167,93,48,361,723,441,3.57,123,5,1,3339,1096,27,373,415,430,0.92,96,93
1887,7,138,44,89,754,4820,1197,193,66,21,439,1093,692,5.28,132,1,0,3540,1545,39,406,316,628,0.89,96,100
1887,5,137,64,69,893,4954,1370,231,84,29,321,890,605,4.59,131,5,1,3558,1227,29,433,417,528,0.9,100,100
1887,2,128,75,48,901,4630,1269,213,89,47,385,702,436,3.47,119,7,1,3396,1173,48,305,435,471,0.91,106,104
1887,6,125,55,69,621,4414,1141,183,78,20,319,750,507,4.12,123,3,0,3324,1287,39,246,248,425,0.92,93,93
1887,1,138,95,40,1131,5048,1550,261,78,39,442,761,502,3.77,132,7,2,3597,1254,19,323,334,481,0.91,111,106
1887,7,126,46,76,601,4314,1039,149,63,47,269,818,507,4.19,124,4,0,3270,1216,47,299,396,469,0.91,95,100
1888,5,137,57,80,653,4656,1068,162,70,19,298,779,504,3.78,130,3,0,3600,1162,23,419,525,461,0.92,98,98
1888,2,143,88,52,758,4871,1177,172,70,25,353,584,333,2.33,138,9,0,3858,1059,15,285,577,502,0.91,101,100
1888,4,137,70,64,669,4834,1183,167,89,56,282,619,355,2.61,134,7,0,3675,1104,36,269,484,494,0.91,104,102
1888,2,136,77,58,734,4616,1201,147,95,77,290,659,390,2.96,123,13,1,3558,1139,63,308,588,417,0.92,107,106
1888,6,135,50,82,651,4603,1076,128,59,12,315,839,484,3.72,131,6,1,3513,1235,38,389,500,480,0.91,97,101
1888,4,137,80,54,745,4801,1161,132,82,32,345,628,375,2.73,132,10,2,3711,1103,19,310,539,456,0.92,105,104
1888,5,134,68,63,721,4849,1275,177,72,51,307,629,365,2.74,130,10,1,3597,1115,44,183,522,463,0.91,100,97
1888,7,136,50,85,603,4623,1100,180,33,34,236,731,502,3.81,132,6,0,3561,1260,64,308,388,449,0.92,102,104
1888,8,132,43,89,579,4588,1000,142,61,19,288,896,552,4.29,128,4,0,3471,1306,32,401,381,507,0.91,106,112
1888,7,139,48,87,689,4881,1177,183,67,14,322,870,445,3.25,133,6,0,3693,1264,28,281,599,609,0.9,98,100
1888,1,138,84,47,659,4747,1149,130,76,55,270,479,263,1.96,133,20,1,3624,907,27,307,726,430,0.92,99,96
1888,3,136,81,52,827,4828,1209,183,89,31,303,594,323,2.41,133,13,0,3624,988,14,324,596,475,0.91,100,98
1888,3,132,69,61,535,4528,1021,151,46,16,268,509,309,2.38,125,16,3,3501,1072,26,196,519,424,0.92,105,104
1888,6,139,66,68,534,4713,1070,150,49,14,194,580,357,2.67,135,13,0,3609,1190,23,223,367,416,0.92,92,93
1888,1,137,92,43,789,4755,1189,149,47,36,410,501,281,2.09,132,12,0,3636,939,19,225,517,430,0.92,111,106
1888,8,136,48,86,482,4546,944,98,49,30,246,731,464,3.54,133,6,0,3537,1157,50,298,406,474,0.91,94,98
1889,5,139,70,65,791,4756,1209,155,68,20,418,795,472,3.56,128,10,1,3576,1168,27,424,540,536,0.9,98,99
1889,1,140,93,44,995,4815,1265,188,79,47,550,706,486,3.61,120,10,1,3636,1205,33,400,471,421,0.92,95,91
1889,2,133,83,45,826,4628,1251,196,54,42,471,626,435,3.36,121,10,4,3498,1152,41,413,497,413,0.92,106,104
1889,3,136,67,65,867,4849,1274,184,66,79,518,814,513,3.73,123,6,2,3711,1313,71,408,434,463,0.92,105,103
